"";"voto1";"idade";"sexo";"Freq"
"108";"Candidato 14";"de 25 a 34";"Masculino";NA
"109";"Candidato 11";"de 25 a 34";"Masculino";50
"110";"Candidato 13";"de 25 a 34";"Masculino";100
"111";"Ninguém/Branco/Nulo";"de 25 a 34";"Masculino";18,6
"112";"NS/NR";"de 25 a 34";"Masculino";21,1
"113";"Candidato 2";"de 35 a 44";"Masculino";18,9
"114";"Candidato 1";"de 35 a 44";"Masculino";25,8
"115";"Candidato 8";"de 35 a 44";"Masculino";33,3
"116";"Candidato 5";"de 35 a 44";"Masculino";27,3
"117";"Candidato 10";"de 35 a 44";"Masculino";16,7
"118";"Candidato 9";"de 35 a 44";"Masculino";25
"119";"Candidato 3";"de 35 a 44";"Masculino";0
"120";"Candidato 4";"de 35 a 44";"Masculino";12,5
"121";"Candidato 6";"de 35 a 44";"Masculino";33,3
"122";"Candidato 7";"de 35 a 44";"Masculino";25
"123";"Candidato 12";"de 35 a 44";"Masculino";33,3
"124";"Candidato 14";"de 35 a 44";"Masculino";NA
"125";"Candidato 11";"de 35 a 44";"Masculino";0
"126";"Candidato 13";"de 35 a 44";"Masculino";0
"127";"Ninguém/Branco/Nulo";"de 35 a 44";"Masculino";15,7
"128";"NS/NR";"de 35 a 44";"Masculino";19,3
"129";"Candidato 2";"de 45 a 59";"Masculino";23,7
"130";"Candidato 1";"de 45 a 59";"Masculino";32,3
"131";"Candidato 8";"de 45 a 59";"Masculino";16,7
"132";"Candidato 5";"de 45 a 59";"Masculino";9,1
"133";"Candidato 10";"de 45 a 59";"Masculino";16,7
"134";"Candidato 9";"de 45 a 59";"Masculino";33,3
"135";"Candidato 3";"de 45 a 59";"Masculino";0
"136";"Candidato 4";"de 45 a 59";"Masculino";62,5
"137";"Candidato 6";"de 45 a 59";"Masculino";0
"138";"Candidato 7";"de 45 a 59";"Masculino";25
"139";"Candidato 12";"de 45 a 59";"Masculino";66,7
"140";"Candidato 14";"de 45 a 59";"Masculino";NA
"141";"Candidato 11";"de 45 a 59";"Masculino";50
"142";"Candidato 13";"de 45 a 59";"Masculino";0
"143";"Ninguém/Branco/Nulo";"de 45 a 59";"Masculino";32,9
"144";"NS/NR";"de 45 a 59";"Masculino";26,3
"145";"Candidato 2";"mais de 60";"Masculino";25,9
"146";"Candidato 1";"mais de 60";"Masculino";25,8
"147";"Candidato 8";"mais de 60";"Masculino";0
"148";"Candidato 5";"mais de 60";"Masculino";0
"149";"Candidato 10";"mais de 60";"Masculino";0
"150";"Candidato 9";"mais de 60";"Masculino";0
"151";"Candidato 3";"mais de 60";"Masculino";28,6
"152";"Candidato 4";"mais de 60";"Masculino";25
"153";"Candidato 6";"mais de 60";"Masculino";0
"154";"Candidato 7";"mais de 60";"Masculino";50
"155";"Candidato 12";"mais de 60";"Masculino";0
"156";"Candidato 14";"mais de 60";"Masculino";NA
"157";"Candidato 11";"mais de 60";"Masculino";0
"158";"Candidato 13";"mais de 60";"Masculino";0
"159";"Ninguém/Branco/Nulo";"mais de 60";"Masculino";24,3
"160";"NS/NR";"mais de 60";"Masculino";17,5
