"";"Feminino";"Masculino"
"Candidato 2";295;228
"Candidato 1";11;31
"Candidato 8";14;12
"Candidato 5";14;11
"Candidato 10";14;6
"Candidato 9";7;12
"Candidato 3";9;7
"Candidato 4";4;8
"Candidato 6";7;3
"Candidato 7";3;4
"Candidato 12";3;3
"Candidato 14";6;0
"Candidato 11";1;2
"Candidato 13";2;1
"Ninguém/Branco/Nulo";72;70
"NS/NR";83;57
